date,giving_party,receiving_party,what_was_given,delivered_status,description
2021-04,"Microsoft","Nuance Communications","Acquisition announced at $19.7B ($56/share)","Delivered — closed Mar 2022, ~11 months late due to UK/EU/US regulatory review","Healthcare AI transcription; Microsoft's largest deal after LinkedIn at the time."
2021-05,"Jaan Tallinn (lead), Dustin Moskovitz, Eric Schmidt, others","Anthropic","$124M Series A at $550M valuation","Delivered","Anthropic's first institutional round."
2021-09 to 2022-02,"S32 (Series A), Tiger Global (Series B)","Cohere","Early funding rounds, amounts undisclosed","Delivered","Steady escalation before the disclosed 2023 Series C."
2022 (early),"Greylock, Microsoft, Reid Hoffman","Inflection AI","$225M first round","Delivered","About a year before Inflection's flagship $1.3B raise."
2022-04,"Sam Bankman-Fried / Alameda Research (FTX)","Anthropic","$500M (~8% stake), Series B at $2.5B valuation","Delivered at the time — later shown to be funded partly via misappropriated FTX customer deposits (per DOJ trial evidence)","SBF's single largest personal/FTX investment."
2022-06,"Vipul Ved Prakash, Ce Zhang, Percy Liang, Chris Ré","Together AI (founded)","Company founding","Confirmed","AI cloud/inference compute reseller — smaller-scale neocloud analog to CoreWeave; Nvidia later participates as investor in three consecutive funding rounds while also being its GPU supplier."
2022-11,"—","FTX / Alameda Research","Bankruptcy filing","N/A","FTX collapses; its Anthropic stake becomes an asset of the bankruptcy estate."
2022 to 2023,"Jen-Hsun & Lori Huang Foundation","Oregon State University","$50M pledge (2022) toward a ~$200–213M complex","Publicized 2023 — pledge-vs-announcement dates differ across sources","Seeds the Jen-Hsun and Lori Mills Huang Collaborative Innovation Complex — a supercomputing / AI / robotics / climate-science research center at Huang's and his wife's shared alma mater."
2022-12,"US Department of Defense (JWCC)","Amazon, Google, Microsoft, Oracle","$9B shared ceiling, multi-award IDIQ cloud-computing contract (Joint Warfighting Cloud Capability), 3 base years + 2 option years","Ceiling only — each vendor guaranteed just a $100,000 minimum task order; predates the AI boom but underpins DoD's later AI-compute access","General enterprise cloud infrastructure, not an AI-model deal — included because DoD's 2025 frontier-AI work (see CDAO rows below) runs partly atop this contract vehicle; quietly re-awarded at the same ceiling in 2026."
2023-01,"Microsoft","OpenAI LP (via OpenAI Global, LLC)","$10B headline figure (part of ~$13B multi-year total)","Phased — tranches + Azure credits, not lump cash; ~$11.6B of the $13B disbursed by Sept 2025","The '$10B' that dominated headlines was one slice of a longer, staged deal."
2023-02,"Google","Anthropic","$300M cash + cloud-credit 'preferred provider' deal, ~10% stake at ~$5B valuation","Delivered","Google's *first*, smaller Anthropic investment — distinct from the much larger Oct 2023 deal."
2023-04,"Mensch, Lample, Lacroix","Mistral AI (founded)","Company founding","Confirmed","Founded roughly four weeks before its seed round closed, with no product yet."
2023-05,"Spark Capital et al.","Anthropic","$450M round","Delivered","Bridges the Feb 2023 and Oct 2023 Google deals."
2023-06,"Lightspeed (lead), Eric Schmidt, Xavier Niel, Bpifrance","Mistral AI","€105M / $113M seed at €240M valuation","Delivered","Largest European seed round on record at the time."
2023-06,"Nvidia, Oracle, Salesforce","Cohere","$270M Series C at $2.1–2.2B valuation","Delivered",""
2023-06,"Databricks","MosaicML","Acquisition, $1.3B (mostly stock, incl. retention)","Delivered — closed Jul 2023","MosaicML had ~$1M revenue in 2022 — widely called an overpay for team/tech, not revenue."
2023-06,"Thomson Reuters","Casetext","Acquisition, $650M cash","Delivered — closed Aug 2023","Legal-AI (CoCounsel/GPT-4-powered); part of TR's declared $10B AI M&A budget through 2025."
2023-06,"Microsoft, Nvidia, Bill Gates, Reid Hoffman, Eric Schmidt","Inflection AI","$1.3B at $4B valuation (total raised $1.525B)","Delivered","Funded a 22,000-H100 GPU cluster — one of the largest AI rounds of 2023."
2023-09,"Amazon","Anthropic","Up to $4B pledged","$1.25B initial tranche","First Amazon–Anthropic deal."
2023-09,"Elon Musk","xAI (founded)","Company founding","Confirmed",""
2023-10,"Google","Anthropic","$2B pledged","~$500M immediate + $1.5B 'over time'","Google's stake later reported >$3B / ~14%, with up to $40B pledged by 2026."
2023-12,"a16z (lead), Lightspeed, Salesforce, others","Mistral AI","€385M / $415M Series A at ~$2B valuation","Delivered","Six months after Mistral's seed round."
2023 to 2024,"Nvidia's AI-driven stock rally","Jen-Hsun & Lori Huang Foundation (assets)","Foundation assets grew from $3.4B (end of 2023) to $9.2B (end of 2024), per tax filings","Confirmed via 990 filings","IRS-mandated minimum distributions rose accordingly (~$120M in 2023, ~$126M in 2024) — the AI boom's stock gains recycling straight into philanthropic giving, some of it back into AI research."
2024,"Founders Fund (lead), Nvidia","Crusoe (AI datacenter builder, founded 2018)","$600M Series D at $2.8B valuation","Delivered","Pivoted from flared-gas compute to AI infrastructure (divested its Bitcoin-mining arm in 2025); Nvidia is simultaneously an investor and Crusoe's GPU supplier — the same dual role as in CoreWeave."
2024-03,"Amazon","Anthropic","$4B (completes prior pledge)","Fully delivered — matches pledge","Counterexample: no gap between headline and reality."
2024-03,"FTX bankruptcy estate","ATIC/Mubadala (~$500M), Jane Street (~$100M), Fidelity, HOF Capital, Ford Foundation","$884M for majority of the 8% Anthropic stake","Delivered","Estate liquidates most of its Anthropic stake to fund creditor repayment."
2024-03,"Microsoft","Inflection AI","$650M ($620M model licensing + ~$30M legal-claim waiver)","Acquihire — explicitly structured as NOT an acquisition; UK CMA reviewed as a 'relevant merger situation' but cleared it","Licensed Inflection's models and hired ~70 staff incl. co-founders Mustafa Suleyman (now CEO, Microsoft AI) and Karén Simonyan. Contrast: $1.3B raised 9 months earlier, company effectively hollowed out."
2024-03,"Thrive Capital, OpenAI, Khosla Ventures, Sequoia","Physical Intelligence (founded 2024)","$70M seed at $400M valuation","Delivered","Robotics foundation-model startup; OpenAI investing here mirrors its role on the compute/infrastructure side of this dataset."
2024 (later),"FTX bankruptcy estate","Various buyers","~$450M for remaining Anthropic stake","Delivered","Total FTX exit ≈$1.3–1.4B — a ~160% return on the original $500M, but a tiny fraction of what an 8% stake would be worth at Anthropic's later ~$350B+ valuation."
2024-04,"Nvidia","Run:ai","Acquisition announced at ~$700M (one source reports ~$800M incl. $200M retention stock)","Delivered — closed Dec 2024 after EU/DOJ clearance, then open-sourced the software","Value discrepancy between the widely-cited $700M and later $800M reporting."
2024-04,"Nvidia (corporate — NOT the Huang Foundation)","University of Washington / University of Tsukuba","$25M, part of a $110M US-Japan initiative alongside Amazon","Announced","AI research, robotics, and workforce-training partnership — flagged because press sometimes blurs this corporate commitment with the personal Foundation's giving."
2024-05,"Investors (Series B)","xAI","$6B pledged","Fully raised — real equity, $24B valuation","Counterexample: no gap."
2024-06,"General Catalyst (lead), IBM, others","Mistral AI","€600M / $640M Series B ($503M equity + $142M debt) at $6B valuation","Delivered",""
2024-06,"Amazon","Adept AI","Undisclosed amount — 'reverse acquihire', investors paid back rather than bought out","Acquihire — licensing + hiring, no formal acquisition; FTC opened an inquiry into whether this circumvented merger notification","Licensed Adept's tech/models/datasets and hired CEO David Luan + core team into Amazon's AGI lab. By 2026, 4 of 5 co-founders had already left."
2024-06,"Databricks","Tabular","Acquisition announced at 'over $1B'","Later reported by Bloomberg at ~$2B — value discrepancy flagged","Preempted a competing Snowflake bid."
2024-06,"Sutskever, Gross, Levy","Safe Superintelligence Inc. (founded)","Company founding","Confirmed","Formed after Sutskever's May 2024 OpenAI departure."
2024-08,"Google","Character.AI","$2.7B","Acquihire — officially a non-exclusive tech license; DOJ investigated the structure for antitrust circumvention","Real purpose widely reported as rehiring Noam Shazeer (Transformer co-author) and Daniel De Freitas."
2024-09,"(self-built)","xAI (Colossus, Memphis)","~100,000 H100 GPUs (~$3B hardware-value estimate)","Verified deployed — built in 122 days, ~150MW","Counterexample: a compute claim that actually checked out on physical inspection."
2024-09,"SV Angel, DST Global, Sequoia, a16z","Safe Superintelligence Inc.","$1B seed at $5B valuation","Delivered","Company's website was a single page of text — no product."
2024-09,"Amazon","Covariant","~$400M for tech license + staff hires","Acquihire — 'zombie acquihire', echoes the Inflection pattern","Covariant had been valued at $625M in a 2023 round before being effectively hollowed out."
2024-09,"a16z, NEA, Radical Ventures, Nvidia","World Labs (founded 2023 by Fei-Fei Li & Justin Johnson)","$230M seed at $1B valuation","Delivered — no shipped product at time of raise","Same 'huge check, no product' pattern as Safe Superintelligence and Thinking Machines Lab, both raised the same month; product (Marble, a 3D world-model generator) didn't ship until 2025-26."
2024,"Jen-Hsun & Lori Huang Foundation","UCSF","$100M","Reported across multiple outlets; exact day/month unconfirmed","Funds AI and advanced-computing methods for biomedical research."
2024-11,"OpenAI, Jeff Bezos, Thrive Capital, Lux Capital, Bond","Physical Intelligence","$400M Series A at $2.4B valuation","Delivered","No commercial product or industrial deployment shipped at time of raise."
2024-11,"Anthropic (via Palantir/AWS partnership)","US DoD / intelligence community (Palantir AIP, classified IL6 environments)","Claude 3/3.5 integrated for classified (up to Secret) national-security workloads","Delivered — deployed; later disrupted, see Feb 2026 Pentagon-ban row","Predates and helped enable Anthropic's July 2025 $200M CDAO award below; the entire DoD relationship was subsequently suspended."
2024-12,"SoftBank (with Trump administration)","US AI infrastructure","$100B pledged over 4 years","Unclear — SoftBank reportedly had only ~$25B liquid at announcement","Funding mechanism left unspecified at time of announcement."
2024-12,"Thrive Capital (lead), a16z, DST, GIC, Insight, MGX","Databricks","$10B Series J at $62B valuation","Delivered","Largest VC raise of 2024."
2024-12,"Nvidia, SoftBank, others","Perplexity AI","$500M at $9B valuation","Delivered","Valuation up ~3,746% from Jan 2024's $520M."
2025-01,"OpenAI LP, SoftBank, Oracle, MGX (Stargate consortium)","Stargate joint venture","'$500B over 4 years' headline; '$100B immediately' claimed","Real initial equity ~$52B (SoftBank & OpenAI ~$19B each, Oracle & MGX ~$7B each)","The '$100B immediate' figure partly repackaged the already-underway Abilene, TX site."
2025-01,"Perplexity AI (bidder)","ByteDance / TikTok US operations","Unsolicited merger bid, later revised with a US-government stake option","No deal reached","Made in the context of the US forced-divestiture law."
2025-01-30,"OpenAI, Microsoft","US Dept of Energy national labs (Los Alamos, Lawrence Livermore, Sandia)","o-series reasoning models deployed on the Venado supercomputer for up to 15,000 scientists, incl. nuclear-weapons-security work; ChatGPT Gov launched same week for other federal agencies","Delivered — deployment confirmed; no public dollar figure disclosed","Framed as a research/access partnership rather than a priced contract — one of several government deals in this dataset where the monetary value is simply never made public."
2025-02,"General Catalyst & Prosperity7/Aramco Ventures (co-lead), Salesforce Ventures, Nvidia, Coatue","Together AI","$305M Series B at $3.3B valuation","Delivered","Nvidia participates as investor for the second consecutive round while remaining Together AI's GPU supplier."
2025 FY,"Meta (capex guidance)","Meta's own AI infrastructure","Guided $60–65B","Exceeded — actual $72.2B","Counterexample: real spend bigger than the guided number."
2025 FY,"Alphabet (capex guidance)","Google's own AI infrastructure","Guided $75B","Exceeded — actual $91.4B","Counterexample."
2025 FY,"Amazon (capex guidance)","Amazon's own AI infrastructure","Guided ~$100B","Exceeded — actual $131.8B","Counterexample."
2025-03,"Investors (Series E)","Anthropic","$3.5B pledged","Fully raised, $61.5B valuation","Counterexample."
2025-03,"OpenAI LP","CoreWeave","$11.9B compute-purchase commitment (initial)","Confirmed contract, not disbursed cash","First tranche of what becomes ~$22.4B total in commitments through 2031."
2025-03,"OpenAI","Windsurf","Acquisition agreed at $3B","COLLAPSED — never closed. Fell apart because Microsoft's contractual IP-access rights (through 2030) weren't extended by Windsurf; exclusivity period lapsed.","A formally 'announced' AI acquisition that simply didn't happen."
2025-03,"SoftBank","Ampere Computing","Acquisition announced at $6.5B cash","Delivered — closed Nov 2025 after FTC clearance","Carlyle/Oracle exited; fits SoftBank's AI-infrastructure buildout alongside Stargate and Arm."
2025-04,"Greenoaks (lead, $500M), a16z, Lightspeed, DST, Alphabet/Nvidia-linked backers","Safe Superintelligence Inc.","$2B at $32B valuation","Delivered","Valuation grew 6x in under 7 months with zero product, no revenue, ~50 employees."
2025-04,"Nvidia","CoreWeave","~$350M pre-IPO equity","Delivered","Grown further since (~$2B added Jan 2026)."
2025-05,"OpenAI LP","CoreWeave","~$4B additional compute-purchase commitment","Confirmed contract",""
2025-05,"Saudi PIF ('Humain')","Humain AI fund","$100B headline figure","Disclosed deals so far total ~$17B (AMD JV, AWS, Qualcomm)","Large gap between fund headline and disclosed deals."
2025-05,"G42 / MGX","Stargate UAE","Up to 1GW cluster / up to $20B","Initial rollout ~200MW live by 2026, scaling toward 1GW later",""
2025-05,"Investors","Perplexity AI","$500M at $14B valuation","Delivered",""
2025-05,"OpenAI","io Products (Jony Ive's hardware startup)","Acquisition announced at ~$6.5B all-stock","Delivered — closed Jul 2025","OpenAI's largest deal ever; Ive himself remains technically non-employee (via LoveFrom)."
2025-05,"Salesforce","Informatica","Acquisition announced at $8B ($25/share)","Delivered — closed Nov 2025","AI-data-governance play for Agentforce."
2025 (disclosed Nov),"Nvidia","CoreWeave","$6.3B backstop — obligated to buy CoreWeave's unsold datacenter capacity through April 2032","Confirmed contractual obligation, not yet drawn","Nvidia sits on multiple sides: equity holder, GPU supplier, and buyer-of-last-resort."
2025-06,"a16z (lead), Nvidia, Accel, ServiceNow, Cisco, AMD, Jane Street","Thinking Machines Lab","$2B seed, valuation reported $10B rising to $12B at close","Delivered","6-month-old startup founded by ex-OpenAI CTO Mira Murati — one of the largest seed rounds ever, with no shipped product."
2025-06,"Meta","Scale AI","$14.3B for a 49% non-controlling stake","Delivered — structured specifically to avoid triggering full merger review","Founder/CEO Alexandr Wang moved to lead Meta's 'superintelligence' team; Scale AI nominally stays independent."
2025-06-16,"US Department of Defense (CDAO)","OpenAI","Up to $200M ceiling contract ('OTA') for agentic AI workflows across national-security mission areas","Ceiling, not guaranteed — OTA/task-order structure; DoD not obligated to draw the full amount","First of four CDAO frontier-AI awards; Anthropic, Google, and xAI followed a month later (see next row)."
2025-07-14,"US Department of Defense (CDAO)","Anthropic, Google, xAI","Up to $200M ceiling each ($600M combined; $800M incl. OpenAI's June award)","Ceiling, not guaranteed — same OTA structure as OpenAI's award","Google's work drew on TPU/CONUS cloud access, Anthropic's centered on Claude Gov, xAI's on its 'Grok for Government' program (Grok 4). Anthropic's award later collapsed — see Feb 2026 row."
2025-07,"Investors","Perplexity AI","$100M top-up at $18B valuation","Delivered",""
2025-07,"Unnamed investors (J.P. Morgan facilitating a secondary sale)","Surge AI (founded 2020, bootstrapped)","First-ever capital raise: up to $1B (primary + secondary), initially reported >$15B valuation, later reports cite ~$20-25B","DISPUTED/UNCONFIRMED — single/thin-sourced, terms fluid, no confirmed close found as of research date","Deliberate counterexample: $0 raised and profitable through 2025 (est. $1B+ revenue, ~110-120 employees) — the dataset's control case against the hype-round narrative, undercut somewhat by this valuation-theater secondary sale."
2025-07,"Google","Windsurf (talent & tech)","$2.4B","Acquihire — licensing only, no equity stake, structured to dodge the merger review a full buyout would trigger","Hired CEO Varun Mohan, co-founder Douglas Chen, and other engineers; remainder of Windsurf sold to Cognition AI (undisclosed)."
2025-08,"Radical Ventures/Inovia (lead), Nvidia, AMD, Salesforce","Cohere","$500M at $6.8B valuation","Delivered",""
2025-08-06 to 2025-08-21,"OpenAI, Anthropic, Google (GSA 'OneGov' program)","US federal agencies — executive branch (OpenAI, Google); all three branches (Anthropic)","ChatGPT Enterprise, Claude, and Gemini access at $1, $1, and $0.47 per agency respectively","Delivered as steep-discount/loss-leader access — not revenue to the companies; a GAO protest (Ask Sage Inc., filed 2025-08-15) challenged the pricing as anti-competitive 'teaser pricing'","AWS ($1B in credits through 2028) and Oracle (75% license discount) ran parallel OneGov offers — the reverse of a government contract award: companies buying federal adoption cheaply rather than being paid."
2025-08,"Nvidia, AMD","US government (Commerce Department)","Agreement to remit 15% of China AI-chip sales revenue in exchange for export licenses","Confirmed — unprecedented arrangement; no prior US company had done this","Reverse-direction entry: the companies pay the government here, not the other way round. Escalated 2026-01-14 when Commerce authorized H200 exports to China under the same 15%-revenue-share framework."
2025-08,"Perplexity AI (bidder)","Google Chrome (Alphabet)","$34.5B unsolicited all-cash bid","No deal / declined","Funding source undisclosed; spurred a further Perplexity raise."
2025-09,"Investors (Series F)","Anthropic","$13B pledged","Fully raised, $183B valuation","Counterexample."
2025-09,"OpenAI LP","Oracle","$300B multi-year cloud/compute purchase commitment (part of Stargate)","Announced commitment, not disbursed cash",""
2025-09,"Oracle","Nvidia","~$40B spent on ~400,000 Nvidia GB200 chips","Confirmed capex","Oracle's own spend to build the Abilene, TX capacity it leases back to OpenAI — closing the loop."
2025-09,"Oracle (disclosed backlog)","Oracle","RPO (remaining performance obligations) backlog reached $455B, up 359% YoY","Confirmed — Sept 9 2025 earnings call","CEO Safra Catz named 'four multi-billion-dollar contracts with three customers' including OpenAI, xAI, Meta, Nvidia, AMD 'and others' — exact per-customer split not disclosed."
2025-09 to 2025-10,"Meta","Oracle (OCI)","~$20B multi-year cloud-compute deal","Confirmed by Oracle Oct 16 2025 earnings commentary, per CNBC","Reported in talks Sept 2025, confirmed weeks later — one of the 'four multi-billion-dollar contracts' referenced in Oracle's Sept RPO disclosure."
2025 (undated),"xAI","Oracle (OCI)","Cloud/compute relationship, dollar figure undisclosed","Confirmed as a customer relationship, unquantified","One of the 'who's who of AI' customers on Oracle's list; no standalone contract value found in reporting."
2025-09,"Bond investors","Oracle","$18B bond sale (maturities to 2065)","Delivered","Explicitly earmarked for Stargate-linked datacenters (New Mexico, Wisconsin, Texas) — debt-funded AI buildout, not equity or revenue."
2025-09,"Unnamed 'Customer A' (multiple outlets reported this as OpenAI)","Broadcom","~$10B custom chip order","DISPUTED / UNCONFIRMED — Broadcom's own semiconductor president joked on CNBC that OpenAI 'has not given me that PO'","Illustrates the identity-attribution gap: Broadcom discloses aggregate revenue/scale, not customer names, and press fills the gap with attribution Broadcom itself has publicly disputed."
2025-09,"OpenAI LP","CoreWeave","~$6.5B additional compute-purchase commitment","Confirmed contract","Brings OpenAI's CoreWeave commitments to ~$22.4B total; OpenAI also took a $350M equity stake in CoreWeave."
2025-09,"Nvidia","OpenAI LP (later OpenAI Group PBC)","LOI for up to $100B equity, 10 tranches of $10B tied to 10GW deployment","Superseded — see Feb 2026 row below","The headline number outlets called the textbook case of circular AI financing."
2025-09,"Nvidia","xAI","Up to $2B equity, part of $20B Series E round","Confirmed as part of closed round",""
2025-09,"Nvidia","Intel","$5B common-stock purchase, 214.7M shares at $23.28","Confirmed — closed Dec 26 2025 after FTC clearance","~4% stake."
2025-09,"Nvidia","Nebius","$2B equity + multi-generation Rubin/Vera/BlueField chip access","Delivered",""
2025-09,"Investors","Perplexity AI","$200M at $20B valuation","Delivered",""
2025-09,"ASML (lead, €1.3B/11% stake), a16z, Nvidia, DST Global","Mistral AI","€1.7B / ~$2B Series C at €11.7B/$13.8B valuation","Delivered",""
2025-10,"Valor Equity Partners & Mubadala Capital (co-lead), Nvidia, Fidelity, Founders Fund, Salesforce Ventures, Supermicro","Crusoe","$1.375B Series E at ~$10B valuation","Delivered","Cumulative raise ~$3.9B; built OpenAI's first major US datacenter (Abilene, TX, part of Stargate) — the same Nvidia dual investor/supplier loop as CoreWeave."
2025-10,"OpenAI (Stargate)","Samsung Electronics, SK Hynix","Non-binding MOU/LOI targeting ~900,000 combined DRAM wafer starts per month","Announced-only / LOI — no guaranteed delivery; March 2026 reporting suggests minimal near-term conversion to actual volume","Signed during Sam Altman's Seoul visit with President Lee Jae-myung, Samsung's Jay Y. Lee, and SK's Chey Tae-won. Analysts (not the companies) put the target at ~40% of 2025 global DRAM capacity and potential order value over KRW100T (~$70B) by 2029 — the same pledge-vs-reality gap pattern as this dataset's other headline figures."
2025-10,"AMD","OpenAI LP (later OpenAI Group PBC)","Warrant for up to 160M AMD shares at $0.01 (~10% of AMD if fully vested), tied to 6GW of Instinct GPU deployment","Vesting, milestone-based — first tranche on 1GW MI450 deployment H2 2026","Reverse of the Nvidia pattern: the chipmaker hands equity upside to its buyer instead of the other way round."
2025-10,"Broadcom","OpenAI LP (later OpenAI Group PBC)","Co-development of 10GW custom AI accelerators/ASICs ('Jalapeño'), deployment 2026–2029","Dollar figure undisclosed ('multiple billions')","Initially misreported as a specific $10B purchase order."
2025-10 to 2026-01,"Unnamed investors (in talks)","Thinking Machines Lab","Sought $50B valuation","COLLAPSED — talks fell apart, company remained at its $12B valuation","A hype round that didn't happen."
2025-10-27,"Felicis (lead), Benchmark, General Catalyst, Robinhood Ventures","Mercor (founded 2023 by three ~22-year-old Thiel Fellows)","$350M Series C at $10B valuation","Delivered","Expert data-labeling / AI-training-data supplier — direct picks-and-shovels counterpart to Scale AI; growth explicitly tied to labs diversifying away from Scale AI after Meta bought 49% of it in June 2025."
2025-10-28,"OpenAI LP / OpenAI Global, LLC (for-profit)","OpenAI Group PBC (new for-profit); nonprofit renamed OpenAI Foundation","Corporate restructuring (not a funding transaction)","N/A","Second restructuring: nonprofit now holds ~26% of the PBC (~$130B stake); all new outside capital (Nvidia, AMD, Broadcom, SoftBank) flows into OpenAI Group PBC from this date."
2025-10-28,"Microsoft","OpenAI Group PBC","Recapitalized stake (~$135B, ~27% as-converted) + committed $250B incremental Azure purchase","Delivered/confirmed as part of the restructuring",""
2025-11,"Nvidia","Anthropic","Up to $10B equity","Announced","Alongside Microsoft's $5B, valuing Anthropic ~$350B."
2025-11,"Microsoft","Anthropic","Up to $5B equity","Announced",""
2025-11,"Anthropic","Microsoft / Nvidia (Azure)","$30B Azure compute-purchase commitment + access to up to 1GW of Nvidia Grace Blackwell/Vera Rubin capacity","Reciprocal commitment tied to the equity above","The buy-back side of the Nvidia–Microsoft–Anthropic deal."
2025-11 to 2026-04,"Google","Anthropic","TPU compute capacity, initially ~1GW, expanded to ~3.5GW (delivery from 2027)","Announced/confirmed as a capacity commitment, not cash","Tied to Anthropic's $50B US infrastructure pledge (Nov 2025). Broadcom co-designs these TPUs; Mizuho analyst estimates (not company-disclosed) put Broadcom's revenue from this relationship at ~$21B in 2026 rising to ~$42B in 2027 — flagged as an estimate, not guidance."
2025-11-19,"US Commerce Department","Nvidia (for Humain/Saudi Arabia and G42/UAE)","Export licenses for up to 35,000 Blackwell (GB300) chips each to Saudi Arabia and the UAE, ~$1B combined value","Confirmed — authorized, timed to Crown Prince Mohammed bin Salman's Washington visit; conditioned on security/reporting compliance (UAE required to divest Chinese tech/personnel first)","Reverses earlier Biden-era export restrictions; a government-approval-gated deal rather than direct funding."
2025-11-20,"CapitalG (Alphabet, lead), Lux Capital, Thrive Capital, Jeff Bezos, Index Ventures, T. Rowe Price","Physical Intelligence","$600M Series B at $5.6B valuation","Delivered","Total raised $1.1B; still pre-commercial-deployment as of this round."
"2025 (Q4, exact dates uncertain)","IBM","HashiCorp; DataStax","HashiCorp acquisition announced ~$6.4B","HashiCorp value reportedly rose to ~$7.2B actual equity value at close (opposite direction from most rows here); DataStax value undisclosed","Flagged for low date confidence — worth double-checking before publishing."
2025-12 (exact date uncertain),"ServiceNow","Moveworks","Acquisition announced at $2.85B","Reported ~$2.4B actual purchase-price consideration at close — value discrepancy flagged","Cash + stock; decline likely reflects stock-price movement between signing and close."
2025-12-16,"SK Hynix, Samsung Electronics","Nvidia","Paid HBM4 sample shipments ahead of Q1 2026 contract finalization","Confirmed — paid (not free-sample) shipments, per TrendForce","A pre-contract commercial signal distinguishing genuine supply-chain traction from mere announcement."
2026 (Q3 FY2026 earnings call),"Oracle (disclosed backlog)","Oracle","RPO backlog reached $523B, up 438% YoY","Confirmed","Follow-up to the Sept 2025 $455B disclosure. Oracle noted a 30-day stretch with $65B in new bookings across seven contracts with four customers — none of them OpenAI — a signal of diversification beyond the OpenAI-dominated narrative."
2026-01-26,"Samsung Electronics","Nvidia","Neared Nvidia HBM4 certification after earlier HBM3E qualification setbacks; reported ~25-30% allocation share of Nvidia's 2026 HBM4","Reported, pre-certification at time — formal Nvidia certification followed 2026-06-05","Samsung had publicly struggled to pass Nvidia's HBM3E qualification tests; this marked the reported turnaround toward HBM4."
2026-01-28,"Nvidia","SK Hynix","~70% (up from ~50% expected) of Nvidia's HBM4 allocation for the Vera Rubin platform","Reported allocation share — not a disclosed contract term","Per Yonhap/TrendForce; SK Hynix already held ~57-62% of the broader HBM shipment market per Counterpoint estimates."
