date,company,model,note
2025-04-28,"Alibaba","Qwen3","Hybrid reasoning; flagship Qwen3-235B-A22B positioned against DeepSeek-R1/o1-class models; fully open-sourced."
2025-04-30,"Amazon","Nova Premier","Largest model in the Nova family, released after being 'still in training' at the Dec 2024 launch."
2025-05-22,"Anthropic","Claude Opus 4 / Sonnet 4","Opus 4 marketed as the world's-best coding model at the time; Bedrock/Vertex distribution followed the next day."
2025-07-09,"xAI","Grok 4","Native tools, real-time search, multi-agent 'Heavy' mode — became xAI's flagship."
2025-07-11,"Moonshot AI","Kimi K2","1T-parameter MoE (32B active), open weights (modified MIT license); strong coding benchmarks — signal that a second Chinese lab beyond DeepSeek could produce a globally competitive open-weight frontier model."
2025-07-22,"Alibaba","Qwen3-Coder (480B-A35B)","Coding-focused flagship, 7.5T pretraining tokens, ~70% code."
2025-08-07,"OpenAI","GPT-5","First 'unified' model routing between fast/instant and deep-reasoning modes; rocky rollout — users revolted at the temporary removal of GPT-4o, forcing OpenAI to restore it days later."
2025-09 (late),"Anthropic","Claude Sonnet 4.5","Opened the '4.5' family."
2025-10-15,"Anthropic","Claude Haiku 4.5","Lightweight completion of the 4.5 family."
2025-11-17,"xAI","Grok 4.1","Default model for consumer apps after a two-week silent A/B rollout."
2025-11-18,"Google","Gemini 3 (Pro / DeepThink)","First model to break 1500 Elo on LMArena; Flash variant followed 2025-12-17."
2025-11-20,"AI2 (Allen Institute)","Olmo 3","First fully-open 32B 'thinking'/reasoning model with explicit reasoning-chain generation."
2025-11-24,"Anthropic","Claude Opus 4.5","Anthropic's 'biggest and most intelligent' model at the time; ~2/3 price cut vs. Opus 4.1, aimed at wider distribution."
2025-12-02,"Mistral AI","Mistral Large 3","Flagship open-weight MoE (675B total / 41B active), Apache 2.0, 262K context. Confidence: medium — corroborated by specific technical detail but only via secondary sources."
2025-12-11,"OpenAI","GPT-5.2","Successor to GPT-5.1. Confidence: medium — corroborated by Wikipedia, not independently verified against openai.com."
2026-02-05,"OpenAI","GPT-5.3-Codex","Confidence: LOW — surfaced only via secondary summarization of a Wikipedia page, not confirmed against a primary OpenAI source."
2026-03-05,"OpenAI","GPT-5.4","Confidence: LOW — same caveat as GPT-5.3-Codex."
2026 (undated),"Google","Gemini 3.1 (Pro / Flash-Lite previews)","Per Google's own API changelog — existence is credible, but exact release day not pinned down."
2026-04-24,"DeepSeek","DeepSeek-V4 (Pro 1.6T / Flash 284B, preview)","New attention architecture (Compressed + Heavily Compressed Sparse Attention); V4-Pro reported near Claude Opus 4.6 on SWE-bench Verified at ~1/7 the price; independently evaluated by NIST's CAISI on 2026-05-02. Confidence: medium — mostly secondary/aggregator sourcing, still 'preview' not GA as of research date."
2026-04-29,"Mistral AI","Mistral Medium 3.5","First merged flagship unifying reasoning (Magistral) + agentic coding (Devstral 2) into one toggleable model. Confidence: low-medium."
2026-04-30,"xAI","Grok 4.3","1M-token context, native video input/file generation. Confidence: LOW — sourced from content-aggregator sites, not xAI directly."
2026-07-08,"xAI","Grok 4.5","Reported ~1.5T-parameter coding-focused model. Confidence: LOW — same caveat as Grok 4.3."
2026-08-02,"Alibaba","Qwen3.8-Max","Reported 2.4T-parameter (95B active) MoE flagship. Confidence: LOW — sourced from SEO-style aggregator sites, not confirmed against Alibaba's own announcements."
2026 (unreleased as of research date),"xAI","Grok 5","NOT YET RELEASED — repeatedly delayed past Q1/Q2 2026 targets; only confirmed as 'in training' per xAI's Jan 2026 funding announcement. Do not assign this a release date."
